PA,20
IN,11
NY,29
VA,13
NH,4
FL,29
NC,15
GA,16
AZ,11
MO,10
NJ,14
WA,12
IL,20
OR,7
LA,8
UT,6
CO,9
MT,3
AK,3
CA,55
OK,7
OH,18
WY,3
TN,11
HI,4
VT,3
NM,5
WV,5
KY,8
ME,4
KS,6
CT,7
MN,10
RI,4
MI,16
NE,5
DE,3
SC,9
WI,10
TX,38
AR,6
NV,6
MA,11
MD,10
MS,6
SD,3
ND,3
AL,9
IA,6
ID,4
DC,3
